dhHiIk	dhHiIk	0	0		verb:inf:perf
dhHiJ	dhHiJ	0	0		verb:inf:?perf
dhHik	dhHik	0	0		verb:inf:?perf
dHi	dHi	0	0		verb:inf:imperf+verb:inf:?perf
dHiI	dHiI	0	0		verb:inf:?perf
dHIi	dHIi	0	0		verb:inf:?perf
dHiIJk	dHiIJk	0	0		verb:inf:?perf
dHIiJk	dHIiJk	0	0		verb:inf:perf
dHiIk	dHiIk	0	0		verb:inf:?perf
dHIik	dHIik	0	0		verb:inf:?perf
dHiJ	dHiJ	0	0		verb:inf:imperf+verb:inf:?perf
dHiJk	dHiJk	0	0		verb:inf:?perf
dHik	dHik	0	0		verb:inf:?perf
diIk	diIk	0	0		verb:inf:perf
diJ	diJ	0	0		verb:inf:imperf+verb:inf:?perf
dIk	dIk	0	0		verb:inf:perf
dk	dk	0	0		verb:inf:perf
DoOsST	DoOsST	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m1
DoOSsT	DoOSsT	0	0		subst:sg:nom:m
DOoSsT	DOoSsT	0	0		subst:sg:nom:m1
DOPsSTzZ	DOPsSTzZ	0	0		subst:sg:nom:m1
DOPsSTZz	DOPsSTZz	0	0		subst:sg:nom:m1
DOPsSZz	DOPsSZz	0	0		subst:sg:nom:m
DOPsSzZ	DOPsSzZ	0	0		subst:sg:nom:m1
DOqS	DOqS	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m1
DOqST	DOqST	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m1
DOsS	DOsS	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m1
DOSs	DOSs	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m1
DOsST	DOsST	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m
DOSsT	DOSsT	0	0		subst:sg:nom:m1+subst:sg:nom.acc:m3
DQsS	DQsS	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m1
DQSs	DQSs	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m1
DQsST	DQsST	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m
DQSsT	DQSsT	0	0		subst:sg:nom.acc:m3+subst:sg:nom:m
E	E	0	0		verb:imps
EeGHhi	EeGHhi	0	0		verb:inf:perf
eEGHiJ	eEGHiJ	0	0		verb:inf:perf
eEGHjJ	eEGHjJ	0	0		verb:inf:perf
EeH	EeH	0	0		verb:inf:imperf+verb:inf:?perf+verb:inf:?perf
EehHi	EehHi	0	0		verb:inf:perf
eEHhj	eEHhj	0	0		verb:inf:?perf
eEHhJj	eEHhJj	0	0		verb:inf:perf
EehHjk	EehHjk	0	0		verb:inf:?perf
eEHi	eEHi	0	0		verb:inf:imperf+verb:inf:?perf+verb:inf:?perf
eEHiIk	eEHiIk	0	0		verb:inf:?perf
eEHIik	eEHIik	0	0		verb:inf:?perf
EeHiIk	EeHiIk	0	0		verb:inf:?perf
EeHIik	EeHIik	0	0		verb:inf:?perf
eEHIj	eEHIj	0	0		verb:inf:imperf+verb:inf:?perf
EeHIj	EeHIj	0	0		verb:inf:imperf+verb:inf:?perf
EeHIJjk	EeHIJjk	0	0		verb:inf:?perf
eEHIjk	eEHIjk	0	0		verb:inf:?perf
EeHIjk	EeHIjk	0	0		verb:inf:?perf
EeHj	EeHj	0	0		verb:inf:perf
EeHjJ	EeHjJ	0	0		verb:inf:perf
eEHJjk	eEHJjk	0	0		verb:inf:?perf
EeHJjk	EeHJjk	0	0		verb:inf:?perf
EFJ	EFJ	0	0		verb:inf:perf
eGhHj	eGhHj	0	0		verb:inf:perf
eGHhj	eGHhj	0	0		verb:inf:perf
eGHiJ	eGHiJ	0	0		verb:inf:perf
eGHIj	eGHIj	0	0		verb:inf:perf
eGHIjk	eGHIjk	0	0		verb:inf:perf
eGHJj	eGHJj	0	0		verb:inf:perf
ehHi	ehHi	0	0		verb:inf:perf
ehHj	ehHj	0	0		subst:sg:nom:f+verb:inf:?perf+verb:inf:perf
eHhj	eHhj	0	0		verb:inf:perf
ehHJj	ehHJj	0	0		verb:inf:?perf
eHhjk	eHhjk	0	0		verb:inf:?perf
ehHjk	ehHjk	0	0		verb:inf:perf
eHiIk	eHiIk	0	0		verb:inf:?perf
eHIik	eHIik	0	0		verb:inf:?perf
EHIik	EHIik	0	0		verb:inf:perf
eHIjk	eHIjk	0	0		verb:inf:?perf
eHIk	eHIk	0	0		verb:inf:?perf+verb:inf:imperf
EHIk	EHIk	0	0		verb:inf:perf
ehj	ehj	0	0		verb:inf:?perf
